id,Floor,Location,CiscoExt,Updateby,ComputerName,SerialNumber,PCModel,CPU,RAM,IPAddress,MACAddress,WindowsEdition,DisplayVersion,OSVersion,CitrixName,CitrixVersion,RecordedDateTime
19,11,57E,10263,407006,T-MOB1000241,2H4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.109.187,C025.A58A.6832,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 08:56:04
20,11,57C,11111,407006,T-MOB100083X,4CE1290XR4,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.109.182,0068.EBCC.ADEC,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 09:13:33
21,11,57F,10893,407006,T-MOB1000400,BC4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.108.247,C025.A591.43AB,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 12:20:03
22,11,57G,11095,407006,T-MOB100148XX,4CE1290Y0X,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.81.126,0068.EBCC.AFEB,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 12:21:04
23,11,57D,10903,407006,T-MOB1001330X,8CC1112GMD,HP EliteDesk 800 G6 Desktop Mini PC,Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz,16 GB,10.16.109.184,6C02.E09B.51F3,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 12:23:25
24,11,57A,10919,407006,T-MOB1001329,8CC1112GSR,HP EliteDesk 800 G6 Desktop Mini PC,Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz,16 GB,10.16.110.56,6C02.E09B.449B,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 12:25:40
25,11,57B,11088,407006,T-MOB100149,4CE1290XSX,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.109.181,0068.EBCC.A9FD,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2309,23.9.1.104,2024-03-10 12:29:01
26,11,01B,10359,407006,T-MOB1000213,6H4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.82.92,C025.A58A.678E,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 12:32:26
27,11,01A,11434,407006,T-MOB1000011,4CE1290XP2,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.80.72,0068.EBCC.A9C9,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 12:33:54
28,11,01C,11463,407006,T-MOB1000028,4CE1290XY7,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.82.95,0068.EBCC.AB78,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 12:37:10
29,11,01D,10221,407006,T-MOB1001044,8CC0250FB8,HP EliteDesk 800 G5 Desktop Mini,Intel(R) Core(TM) i5-9600 CPU @ 3.10GHz,16 GB,10.16.83.90,BCE9.2F84.ADFA,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 12:38:31
30,11,01E,11430,407006,T-MOB1000029,4CE1290XPV,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.82.100,0068.EBCC.B109,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 12:40:09
31,11,01F,11039,407006,T-MOB100133,4CE1290XX0,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.82.101,0068.EBCC.9DDA,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 12:41:53
32,11,01G,11433,407006,T-MOB1000025,4CE1290XQD,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.82.104,0068.EBCC.ACDE,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-10 12:42:53
33,11,30F,XXXX,407006,T-MOB1001208,8CC1112GM1,HP EliteDesk 800 G6 Desktop Mini PC,Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz,16 GB,10.16.83.91,6C02.E09B.508B,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2309,23.9.1.104,2024-03-10 12:49:16
